ハンド,ポジション,正解アクション,正解EV(BB)
AA,UTG,レイズ,0.0
AKS,UTG,レイズ,0.0
AQS,UTG,レイズ,0.0
AJS,UTG,レイズ,0.0
ATS,UTG,レイズ,0.0
A9S,UTG,レイズ,0.0
A8S,UTG,レイズ,0.0
A7S,UTG,レイズ,0.0
A6S,UTG,レイズ,0.0
A5S,UTG,レイズ,0.0
A4S,UTG,レイズ,0.0
A3S,UTG,レイズ,0.0
A2S,UTG,レイズ,0.0
AKO,UTG,レイズ,0.0
KK,UTG,レイズ,0.0
KQS,UTG,レイズ,0.0
KJS,UTG,レイズ,0.0
KTS,UTG,レイズ,0.0
K9S,UTG,レイズ,0.0
K8S,UTG,フォールド,0.0
K7S,UTG,フォールド,0.0
K6S,UTG,フォールド,0.0
K5S,UTG,フォールド,0.0
K4S,UTG,フォールド,0.0
K3S,UTG,フォールド,0.0
K2S,UTG,フォールド,0.0
AQO,UTG,レイズ,0.0
KQO,UTG,フォールド,0.0
QQ,UTG,レイズ,0.0
QJS,UTG,レイズ,0.0
QTS,UTG,レイズ,0.0
Q9S,UTG,フォールド,0.0
Q8S,UTG,フォールド,0.0
Q7S,UTG,フォールド,0.0
Q6S,UTG,フォールド,0.0
Q5S,UTG,フォールド,0.0
Q4S,UTG,フォールド,0.0
Q3S,UTG,フォールド,0.0
Q2S,UTG,フォールド,0.0
AJO,UTG,フォールド,0.0
KJO,UTG,フォールド,0.0
QJO,UTG,フォールド,0.0
JJ,UTG,レイズ,0.0
JTS,UTG,レイズ,0.0
J9S,UTG,フォールド,0.0
J8S,UTG,フォールド,0.0
J7S,UTG,フォールド,0.0
J6S,UTG,フォールド,0.0
J5S,UTG,フォールド,0.0
J4S,UTG,フォールド,0.0
J3S,UTG,フォールド,0.0
J2S,UTG,フォールド,0.0
ATO,UTG,フォールド,0.0
KTO,UTG,フォールド,0.0
QTO,UTG,フォールド,0.0
JTO,UTG,フォールド,0.0
TT,UTG,レイズ,0.0
T9S,UTG,フォールド,0.0
T8S,UTG,フォールド,0.0
T7S,UTG,フォールド,0.0
T6S,UTG,フォールド,0.0
T5S,UTG,フォールド,0.0
T4S,UTG,フォールド,0.0
T3S,UTG,フォールド,0.0
T2S,UTG,フォールド,0.0
A9O,UTG,フォールド,0.0
K9O,UTG,フォールド,0.0
Q9O,UTG,フォールド,0.0
J9O,UTG,フォールド,0.0
T9O,UTG,フォールド,0.0
99,UTG,レイズ,0.0
98S,UTG,フォールド,0.0
97S,UTG,フォールド,0.0
96S,UTG,フォールド,0.0
95S,UTG,フォールド,0.0
94S,UTG,フォールド,0.0
93S,UTG,フォールド,0.0
92S,UTG,フォールド,0.0
A8O,UTG,フォールド,0.0
K8O,UTG,フォールド,0.0
Q8O,UTG,フォールド,0.0
J8O,UTG,フォールド,0.0
T8O,UTG,フォールド,0.0
98O,UTG,フォールド,0.0
88,UTG,レイズ,0.0
87S,UTG,フォールド,0.0
86S,UTG,フォールド,0.0
85S,UTG,フォールド,0.0
84S,UTG,フォールド,0.0
83S,UTG,フォールド,0.0
82S,UTG,フォールド,0.0
A7O,UTG,フォールド,0.0
K7O,UTG,フォールド,0.0
Q7O,UTG,フォールド,0.0
J7O,UTG,フォールド,0.0
T7O,UTG,フォールド,0.0
97O,UTG,フォールド,0.0
87O,UTG,フォールド,0.0
77,UTG,レイズ,0.0
76S,UTG,フォールド,0.0
75S,UTG,フォールド,0.0
74S,UTG,フォールド,0.0
73S,UTG,フォールド,0.0
72S,UTG,フォールド,0.0
A6O,UTG,フォールド,0.0
K6O,UTG,フォールド,0.0
Q6O,UTG,フォールド,0.0
J6O,UTG,フォールド,0.0
T6O,UTG,フォールド,0.0
96O,UTG,フォールド,0.0
86O,UTG,フォールド,0.0
76O,UTG,フォールド,0.0
66,UTG,フォールド,0.0
65S,UTG,フォールド,0.0
64S,UTG,フォールド,0.0
63S,UTG,フォールド,0.0
62S,UTG,フォールド,0.0
A5O,UTG,フォールド,0.0
K5O,UTG,フォールド,0.0
Q5O,UTG,フォールド,0.0
J5O,UTG,フォールド,0.0
T5O,UTG,フォールド,0.0
95O,UTG,フォールド,0.0
85O,UTG,フォールド,0.0
75O,UTG,フォールド,0.0
65O,UTG,フォールド,0.0
55,UTG,フォールド,0.0
54S,UTG,フォールド,0.0
53S,UTG,フォールド,0.0
52S,UTG,フォールド,0.0
A4O,UTG,フォールド,0.0
K4O,UTG,フォールド,0.0
Q4O,UTG,フォールド,0.0
J4O,UTG,フォールド,0.0
T4O,UTG,フォールド,0.0
94O,UTG,フォールド,0.0
84O,UTG,フォールド,0.0
74O,UTG,フォールド,0.0
64O,UTG,フォールド,0.0
54O,UTG,フォールド,0.0
44,UTG,フォールド,0.0
43S,UTG,フォールド,0.0
42S,UTG,フォールド,0.0
A3O,UTG,フォールド,0.0
K3O,UTG,フォールド,0.0
Q3O,UTG,フォールド,0.0
J3O,UTG,フォールド,0.0
T3O,UTG,フォールド,0.0
93O,UTG,フォールド,0.0
83O,UTG,フォールド,0.0
73O,UTG,フォールド,0.0
63O,UTG,フォールド,0.0
53O,UTG,フォールド,0.0
43O,UTG,フォールド,0.0
33,UTG,フォールド,0.0
32S,UTG,フォールド,0.0
A2O,UTG,フォールド,0.0
K2O,UTG,フォールド,0.0
Q2O,UTG,フォールド,0.0
J2O,UTG,フォールド,0.0
T2O,UTG,フォールド,0.0
92O,UTG,フォールド,0.0
82O,UTG,フォールド,0.0
72O,UTG,フォールド,0.0
62O,UTG,フォールド,0.0
52O,UTG,フォールド,0.0
42O,UTG,フォールド,0.0
32O,UTG,フォールド,0.0
22,UTG,フォールド,0.0
AA,UTG1,レイズ,0.0
AKS,UTG1,レイズ,0.0
AQS,UTG1,レイズ,0.0
AJS,UTG1,レイズ,0.0
ATS,UTG1,レイズ,0.0
A9S,UTG1,レイズ,0.0
A8S,UTG1,レイズ,0.0
A7S,UTG1,レイズ,0.0
A6S,UTG1,レイズ,0.0
A5S,UTG1,レイズ,0.0
A4S,UTG1,レイズ,0.0
A3S,UTG1,レイズ,0.0
A2S,UTG1,レイズ,0.0
AKO,UTG1,レイズ,0.0
KK,UTG1,レイズ,0.0
KQS,UTG1,レイズ,0.0
KJS,UTG1,レイズ,0.0
KTS,UTG1,レイズ,0.0
K9S,UTG1,レイズ,0.0
K8S,UTG1,レイズ,0.0
K7S,UTG1,レイズ,0.0
K6S,UTG1,フォールド,0.0
K5S,UTG1,フォールド,0.0
K4S,UTG1,フォールド,0.0
K3S,UTG1,フォールド,0.0
K2S,UTG1,フォールド,0.0
AQO,UTG1,レイズ,0.0
KQO,UTG1,レイズ,0.0
QQ,UTG1,レイズ,0.0
QJS,UTG1,レイズ,0.0
QTS,UTG1,レイズ,0.0
Q9S,UTG1,レイズ,0.0
Q8S,UTG1,フォールド,0.0
Q7S,UTG1,フォールド,0.0
Q6S,UTG1,フォールド,0.0
Q5S,UTG1,フォールド,0.0
Q4S,UTG1,フォールド,0.0
Q3S,UTG1,フォールド,0.0
Q2S,UTG1,フォールド,0.0
AJO,UTG1,レイズ,0.0
KJO,UTG1,フォールド,0.0
QJO,UTG1,フォールド,0.0
JJ,UTG1,レイズ,0.0
JTS,UTG1,レイズ,0.0
J9S,UTG1,レイズ,0.0
J8S,UTG1,フォールド,0.0
J7S,UTG1,フォールド,0.0
J6S,UTG1,フォールド,0.0
J5S,UTG1,フォールド,0.0
J4S,UTG1,フォールド,0.0
J3S,UTG1,フォールド,0.0
J2S,UTG1,フォールド,0.0
ATO,UTG1,フォールド,0.0
KTO,UTG1,フォールド,0.0
QTO,UTG1,フォールド,0.0
JTO,UTG1,フォールド,0.0
TT,UTG1,レイズ,0.0
T9S,UTG1,レイズ,0.0
T8S,UTG1,フォールド,0.0
T7S,UTG1,フォールド,0.0
T6S,UTG1,フォールド,0.0
T5S,UTG1,フォールド,0.0
T4S,UTG1,フォールド,0.0
T3S,UTG1,フォールド,0.0
T2S,UTG1,フォールド,0.0
A9O,UTG1,フォールド,0.0
K9O,UTG1,フォールド,0.0
Q9O,UTG1,フォールド,0.0
J9O,UTG1,フォールド,0.0
T9O,UTG1,フォールド,0.0
99,UTG1,レイズ,0.0
98S,UTG1,フォールド,0.0
97S,UTG1,フォールド,0.0
96S,UTG1,フォールド,0.0
95S,UTG1,フォールド,0.0
94S,UTG1,フォールド,0.0
93S,UTG1,フォールド,0.0
92S,UTG1,フォールド,0.0
A8O,UTG1,フォールド,0.0
K8O,UTG1,フォールド,0.0
Q8O,UTG1,フォールド,0.0
J8O,UTG1,フォールド,0.0
T8O,UTG1,フォールド,0.0
98O,UTG1,フォールド,0.0
88,UTG1,レイズ,0.0
87S,UTG1,フォールド,0.0
86S,UTG1,フォールド,0.0
85S,UTG1,フォールド,0.0
84S,UTG1,フォールド,0.0
83S,UTG1,フォールド,0.0
82S,UTG1,フォールド,0.0
